nFrameNo,nDetectId,nObjectType,nRealXPos[mm],nDistance[mm],nWidth[mm],nHeight[mm],nXSpeed,nZSpeed,nXAcceleration,nZAcceleration,,,image_xs[pixel],image_ys[pixel],image_width[pixel],image_height[pixel]
0,5,0,1209,10477,3314,2312,0,0,0,0,,,113,315,24,73
0,52,0,-8657,33508,1222,2164,0,0,0,0,,,40,115,17,29
0,60,0,-7913,35859,857,1158,0,0,0,0,,,49,115,8,13
0,99,0,-6675,23350,418,670,0,0,0,0,,,63,176,6,16
1,32,0,-10181,28279,591,1031,0,0,0,0,,,36,145,5,10
1,44,0,-7783,36556,634,961,0,0,0,0,,,54,115,4,8
1,123,0,1169,7608,436,2302,0,0,0,0,,,124,392,5,7
2,37,0,-8780,33984,1239,2174,0,0,0,0,,,38,116,17,21
4,111,0,-7790,31464,432,1279,0,0,0,0,,,54,133,5,7
5,46,0,-8899,34446,1277,1977,0,0,0,0,,,38,113,16,24
5,71,0,-2320,21204,1585,2219,0,0,0,0,,,90,160,16,61
5,92,0,-5797,18222,1340,1852,0,0,0,0,,,67,220,11,13
6,32,0,-2937,22737,1033,2053,0,0,0,0,,,89,163,11,46
6,63,0,125,14945,1018,2073,0,0,0,0,,,114,254,8,14
6,87,0,-3607,32606,624,1989,0,0,0,0,,,86,129,6,7
7,60,0,-2632,22226,770,1169,0,0,0,0,,,90,172,10,41
7,71,0,-3457,27796,714,2011,0,0,0,0,,,88,139,6,25
7,92,0,-8517,42008,326,1080,0,0,0,0,,,48,98,4,7
7,115,0,-5688,17812,1289,2109,0,0,0,0,,,68,226,10,11
7,116,0,-7161,28785,447,1050,0,0,0,0,,,59,144,6,13
8,20,0,916,10079,1603,2224,0,0,0,0,,,117,335,14,47
8,48,0,-2676,22045,553,1147,0,0,0,0,,,92,179,7,31
8,78,0,-17,14734,528,1938,0,0,0,0,,,115,258,4,14
9,3,0,-9210,35242,1117,1580,0,0,0,0,,,36,111,15,25
9,83,0,-6989,28433,306,1343,0,0,0,0,,,61,148,4,7
9,85,0,-3735,25492,579,1128,0,0,0,0,,,85,165,5,6
10,21,0,1370,10138,2498,2273,0,0,0,0,,,118,327,17,58
10,91,0,-26,14612,515,1887,0,0,0,0,,,115,262,4,10
11,24,0,-9234,34934,898,1399,0,0,0,0,,,35,112,16,25
11,72,0,-6480,25678,383,1013,0,0,0,0,,,64,165,4,5
11,86,0,-7945,34869,396,1480,0,0,0,0,,,53,121,4,5
12,14,0,-13832,72959,567,872,0,0,0,0,,,7,58,4,3
12,98,0,44,14755,653,1976,0,0,0,0,,,115,259,5,11
13,7,0,-13530,71365,512,981,0,0,0,0,,,8,59,5,3
13,22,0,-4087,26491,522,998,0,0,0,0,,,82,154,6,12
13,58,0,-4924,14444,734,1373,0,0,0,0,,,75,265,6,10
14,31,0,913,10110,1620,1868,0,0,0,0,,,118,336,12,38
14,65,0,43,14609,646,1983,0,0,0,0,,,115,262,5,9
15,1,0,998,10118,1464,2232,0,0,0,0,,,119,335,11,36
15,44,0,44,14722,651,1893,0,0,0,0,,,115,260,5,10
15,63,0,-1586,18946,577,2198,0,0,0,0,,,102,220,5,6
16,20,0,1352,10009,2508,2226,0,0,0,0,,,118,333,18,45
16,88,0,-17,14710,527,2005,0,0,0,0,,,115,260,4,11
17,16,0,1117,7300,571,2292,0,0,0,0,,,124,392,4,13
17,99,0,-7046,28596,307,1162,0,0,0,0,,,59,145,6,12
18,71,0,1159,7459,481,2297,0,0,0,0,,,124,390,5,12
19,24,0,2199,9356,738,1673,0,0,0,0,,,131,356,6,18
19,25,0,871,10117,1778,2226,0,0,0,0,,,117,335,14,39
19,76,0,-10408,38333,504,366,0,0,0,0,,,33,110,5,4
19,78,0,-7168,29020,329,1440,0,0,0,0,,,57,141,8,17
19,94,0,-26,14853,515,1892,0,0,0,0,,,115,259,4,8
19,98,0,1241,7496,537,2299,0,0,0,0,,,125,395,4,6
20,25,0,1552,6038,552,2072,0,0,0,0,,,127,417,5,11
21,14,0,1575,6041,520,2070,0,0,0,0,,,127,416,5,13
21,28,0,853,10119,1706,2196,0,0,0,0,,,117,335,13,42
21,81,0,-26,14852,515,1892,0,0,0,0,,,115,258,4,10
21,95,0,1248,7620,556,2306,0,0,0,0,,,125,393,4,5
21,97,0,-7435,30104,306,936,0,0,0,0,,,57,140,4,5
22,42,0,1560,6038,538,1657,0,0,0,0,,,127,416,6,13
22,111,0,1196,7577,466,2306,0,0,0,0,,,125,393,4,6
22,120,0,-26,14720,519,1892,0,0,0,0,,,115,261,4,8
23,98,0,-7030,28601,307,1351,0,0,0,0,,,59,144,6,14
23,110,0,106,14817,788,1878,0,0,0,0,,,115,256,6,14
23,117,0,-7263,36251,1344,1777,0,0,0,0,,,57,111,10,13
24,5,0,2274,12390,422,437,0,0,0,0,,,132,288,6,27
24,50,0,2073,9344,497,318,0,0,0,0,,,131,356,4,20
24,57,0,-2370,21544,1700,2216,0,0,0,0,,,90,181,16,29
24,87,0,-12628,66609,557,956,0,0,0,0,,,15,62,7,4
24,112,0,-26,14735,511,2132,0,0,0,0,,,115,261,4,8
25,13,0,1383,6461,1151,2082,0,0,0,0,,,124,401,9,31
25,62,0,-6255,36700,417,1712,0,0,0,0,,,65,113,5,8
25,80,0,-5446,16291,769,1860,0,0,0,0,,,72,243,5,9
25,97,0,-26,14577,514,1883,0,0,0,0,,,115,264,4,7
26,14,0,1371,6389,1127,1704,0,0,0,0,,,124,402,10,34
26,36,0,1499,10072,2783,2222,0,0,0,0,,,118,337,20,38
26,61,0,-2238,21634,1449,2225,0,0,0,0,,,91,157,16,57
26,90,0,175,14705,914,1899,0,0,0,0,,,115,256,7,17
27,42,0,889,10192,1773,2011,0,0,0,0,,,117,337,14,30
27,89,0,-17,14806,531,1886,0,0,0,0,,,115,258,4,12
27,94,0,-5568,16836,845,1842,0,0,0,0,,,70,236,6,12
28,25,0,-14113,74440,489,845,0,0,0,0,,,4,56,5,3
28,46,0,1047,10183,1394,2216,0,0,0,0,,,120,335,11,34
28,59,0,-8980,42781,460,588,0,0,0,0,,,45,96,5,8
28,77,0,-13268,48865,438,847,0,0,0,0,,,11,85,5,6
28,96,0,-7057,28641,308,1456,0,0,0,0,,,59,144,7,14
29,10,0,1461,6170,815,2081,0,0,0,0,,,125,407,9,31
29,46,0,1367,10119,2009,2227,0,0,0,0,,,120,336,15,32
29,78,0,-8482,39950,501,2174,0,0,0,0,,,49,106,4,3
